"country.name","years","financial.integration","debt.stock","debt.service.cap"
"Angola",2009,3218147250.25,131.0754887,20.92943765
"Benin",2009,398091027.3026,40.00263496,13.61116922
"Botswana",2009,1321747141.537,8.322685978,2.033678945
"Burundi",2009,45576785.0565,127.2476256,40.85690479
"Cabo Verde",2009,108166474.4884,60.87574177,11.07847963
"Cameroon",2009,1237462800.5738,111.2828041,20.73092986
"Congo, Rep.",2009,949737405.28,205.5162756,1.70455443
"Eswatini",2009,657655007.53468,18.82949048,2.233558142
"Gabon",2009,1311072083.014,91.63368412,9.951427412
"Ghana",2009,1395910400,139.438719,19.03796898
"Guinea",2009,395778034.225,103.6489878,22.27471958
"Kenya",2009,1662883279.366,48.88165472,21.01968126
"Malawi",2009,257817273.592,159.1037579,13.50482607
"Mali",2009,382488058.755,101.953672,14.12391087
"Niger",2009,189634927.5888,77.46697868,7.940910281
"Nigeria",2009,8064205450.33,52.94454549,8.756115605
"Senegal",2009,941453288.763,62.62765055,16.17857216
"South Africa",2009,17700686746.27,19.91010103,10.18188659
"Sudan",2009,783390005.75,137.6085526,13.47285264
"Tanzania",2009,662898540.61,54.26462153,11.93268502
"Togo",2009,241612883.7122,99.0925718,6.607944187
"Zambia",2009,505956338.6,168.7145323,21.24305676
"Angola",2014,32132536118.59,43.31892003,9.63601615
"Benin",2014,1792578180.87,16.26103943,3.181198562
"Botswana",2014,4832445753.019,16.75848373,2.147077734
"Cabo Verde",2014,429591183.904,83.58175092,4.576214245
"Cameroon",2014,4300587112.53,16.31490793,3.34544912
"Congo, Dem. Rep.",2014,5820313692.2528,20.53148983,3.326545694
"Congo, Rep.",2014,4860429038.052,36.30141021,4.589968867
"Cote d'Ivoire",2014,6105423316.94,33.00299171,7.984152875
"Eswatini",2014,948800861.01,9.308242105,1.864673011
"Gabon",2014,3797966611.33,30.42368866,12.03374768
"Ghana",2014,8524349598.5,26.37573251,4.299729754
"Guinea-Bissau",2014,112551834.063,29.10976038,1.007588653
"Kenya",2014,6988474912.6,25.31999634,4.905137592
"Lesotho",2014,774099227.973,31.32908773,2.938821399
"Liberia",2014,404797535.994776,19.19280668,0.937120231
"Madagascar",2014,1586175155.5936,24.38001133,2.288803074
"Malawi",2014,941686434.959,29.23940139,3.153214225
"Mali",2014,2075975958.46,26.89824281,3.115499375
"Mauritania",2014,1511281511,64.3326926,5.785662884
"Mozambique",2014,2376380610.48,78.15781701,10.72570732
"Niger",2014,1001659264.23,20.03362589,4.079388268
"Nigeria",2014,36607977031.95,5.002332535,0.49417488
"Rwanda",2014,799279262.54,29.99774353,8.426651281
"Senegal",2014,2780952315.256,28.00642268,8.888228207
"Sierra Leone",2014,946189974.8918,28.5417203,1.548061415
"South Africa",2014,56197851496.6,39.2463962,10.99691303
"Sudan",2014,2919008904.8084,40.96101999,4.908557485
"Tanzania",2014,4926605407.2974,29.42872712,2.759723471
"Togo",2014,1172457623.22,21.44458673,2.291876169
"Uganda",2014,2776273198.402,30.39352187,1.780958901
"Zambia",2014,5405026185.5,23.39760883,2.750319048
"Zimbabwe",2014,2664775750,48.9266767,13.33938574
"Angola",2019,18027049170.65,55.50629194,20.58820788
"Benin",2019,2147995386.11474,25.57393083,5.852233874
"Botswana",2019,3572203602.24,10.33189913,2.435739529
"Burkina Faso",2019,2241576465.21,20.90307511,3.030131533
"Cabo Verde",2019,558467894.755,92.02430375,5.610875183
"Cameroon",2019,3970524566.884,28.68382611,14.11332198
"Congo, Dem. Rep.",2019,8048932125.14,10.87974243,2.329747441
"Cote d'Ivoire",2019,6128832743.31,28.04807927,12.34869858
"Eswatini",2019,964541862.429,11.94541379,2.260547229
"Ghana",2019,10689168576.87,36.29416978,11.50470122
"Guinea",2019,3610132305.5,22.37939125,2.564352277
"Guinea-Bissau",2019,203668229.1004,37.29711077,3.289964696
"Kenya",2019,7369460575.17,35.54767709,23.55203578
"Lesotho",2019,882541351.5648,30.90492923,3.812351376
"Madagascar",2019,2016496011.35762,27.72426636,2.720414922
"Malawi",2019,1122687572.54,33.55429616,7.472110554
"Mali",2019,2394045055.65,27.9668432,4.827020533
"Mozambique",2019,4047990464.3476,131.2736496,10.40330521
"Niger",2019,1044495221.03,25.23655174,7.845107325
"Nigeria",2019,33128223077.18,13.28407264,7.88285759
"Rwanda",2019,1108617818.996,58.21149936,12.58835848
"Senegal",2019,3003848253.12,52.5400244,14.32776128
"Sierra Leone",2019,513658565.525,45.68837199,7.656687514
"South Africa",2019,53612106356.8,48.50574739,24.73757598
"Sudan",2019,1131741213.0844,88.99002261,4.198944981
"Togo",2019,1094989626.79,32.35754813,6.843382218
"Uganda",2019,2720199462.056,38.67150611,9.314233434
"Zambia",2019,4864865720.33,71.45159568,14.47118199
